,Title,Relase,Audience Rating,Runtime,Genre,IMDB Rating,Votes,Box Office Earnings,Director,Actors,Description
0,In the Mood for Love,-2000,PG,98 min,"Drama, Romance            ",8.1,"1,18,106","1,18,106",Kar-Wai Wong,"['Tony Chiu-Wai Leung', 'Maggie Cheung', 'Ping Lam Siu', ""Tung Cho 'Joe' Cheung""]","Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
1,Trainspotting,-1996,R,93 min,Drama            ,8.1,"6,21,146","6,21,146",Danny Boyle,"['Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller', 'Kevin McKidd']","Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
2,Fargo,-1996,R,98 min,"Crime, Drama, Thriller            ",8.1,"5,97,964","5,97,964",Joel Coen,"['Ethan Coen', 'William H. Macy', 'Frances McDormand', 'Steve Buscemi']",Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
3,Underground,-1995,Not Rated,167 min,"Comedy, Drama, War            ",8.1,"53,974","53,974",Emir Kusturica,"[""Predrag 'Miki' Manojlovic"", 'Lazar Ristovski', 'Mirjana Jokovic', 'Slavko Stimac']","A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate."
4,La Haine,-1995,Not Rated,98 min,"Crime, Drama            ",8.1,"1,43,287","1,43,287",Mathieu Kassovitz,"['Vincent Cassel', 'Hubert Koundé', 'Saïd Taghmaoui', 'Abdel Ahmed Ghili']",24 hours in the lives of three young men in the French suburbs the day after a violent riot.
5,Dilwale Dulhania Le Jayenge,-1995,Not Rated,181 min,"Drama, Romance            ",8.1,"61,509","61,509",Aditya Chopra,"['Shah Rukh Khan', 'Kajol', 'Amrish Puri', 'Farida Jalal']","When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt."
6,Before Sunrise,-1995,R,101 min,"Drama, Romance            ",8.1,"2,60,439","2,60,439",Richard Linklater,"['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert', 'Hanno Pöschl']","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
7,Three Colors: Red,-1994,R,99 min,"Drama, Mystery, Romance            ",8.1,"87,015","87,015",Krzysztof Kieslowski,"['Irène Jacob', 'Jean-Louis Trintignant', 'Frédérique Feder', 'Jean-Pierre Lorit']",A model discovers a retired judge is keen on invading people's privacy.
8,Chungking Express,-1994,PG-13,102 min,"Comedy, Crime, Drama            ",8.1,"59,415","59,415",Kar-Wai Wong,"['Brigitte Lin', 'Takeshi Kaneshiro', 'Tony Chiu-Wai Leung', 'Faye Wong']","Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents."
9,Jurassic Park,-1993,PG-13,127 min,"Action, Adventure, Sci-Fi            ",8.1,"8,39,293","8,39,293",Steven Spielberg,"['Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Richard Attenborough']",A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
10,In the Name of the Father,-1993,R,133 min,"Biography, Drama            ",8.1,"1,51,806","1,51,806",Jim Sheridan,"['Daniel Day-Lewis', 'Pete Postlethwaite', 'Alison Crosbie', 'Philip King']",A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
11,Raise the Red Lantern,-1991,PG,125 min,"Drama, History, Romance            ",8.1,"28,516","28,516",Yimou Zhang,"['Li Gong', 'Jingwu Ma', 'Saifei He', 'Cuifen Cao']","A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household."
12,Dead Poets Society,-1989,PG,128 min,"Comedy, Drama            ",8.1,"4,08,302","4,08,302",Peter Weir,"['Robin Williams', 'Robert Sean Leonard', 'Ethan Hawke', 'Josh Charles']",Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.
13,The Princess Bride,-1987,PG,98 min,"Adventure, Family, Fantasy            ",8.1,"3,83,185","3,83,185",Rob Reiner,"['Cary Elwes', 'Mandy Patinkin', 'Robin Wright', 'Chris Sarandon']","While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
14,Stand by Me,-1986,R,89 min,"Adventure, Drama            ",8.1,"3,53,821","3,53,821",Rob Reiner,"['Wil Wheaton', 'River Phoenix', 'Corey Feldman', ""Jerry O'Connell""]","After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy."
15,Platoon,-1986,R,120 min,"Drama, War            ",8.1,"3,71,805","3,71,805",Oliver Stone,"['Charlie Sheen', 'Tom Berenger', 'Willem Dafoe', 'Keith David']",A young soldier in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.
16,"Paris, Texas",-1984,R,145 min,Drama            ,8.1,"85,383","85,383",Wim Wenders,"['Harry Dean Stanton', 'Nastassja Kinski', 'Dean Stockwell', 'Aurore Clément']","Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."
17,Nausicaä of the Valley of the Wind,-1984,PG,117 min,"Animation, Adventure, Fantasy            ",8.1,"1,43,589","1,43,589",Hayao Miyazaki,"['Sumi Shimamoto', 'Mahito Tsujimura', 'Hisako Kyôda', 'Gorô Naya']",Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
18,The Thing,-1982,R,109 min,"Horror, Mystery, Sci-Fi            ",8.1,"3,57,818","3,57,818",John Carpenter,"['Kurt Russell', 'Wilford Brimley', 'Keith David', 'Richard Masur']",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
19,Pink Floyd: The Wall,-1982,R,95 min,"Fantasy, Music            ",8.1,"74,318","74,318",Alan Parker,"['Bob Geldof', 'Christine Hargreaves', 'James Laurenson', 'Eleanor David']",A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.
20,Fitzcarraldo,-1982,PG,158 min,"Adventure, Drama            ",8.1,"30,301","30,301",Werner Herzog,"['Klaus Kinski', 'Claudia Cardinale', 'José Lewgoy', 'Miguel Ángel Fuentes']","The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle."
21,Fanny and Alexander,-1982,R,188 min,Drama            ,8.1,"55,960","55,960",Ingmar Bergman,"['Bertil Guve', 'Pernilla Allwin', 'Kristina Adolphson', 'Börje Ahlstedt']","Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls."
22,Blade Runner,-1982,R,117 min,"Action, Sci-Fi, Thriller            ",8.1,"6,74,716","6,74,716",Ridley Scott,"['Harrison Ford', 'Rutger Hauer', 'Sean Young', 'Edward James Olmos']","A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator."
23,The Elephant Man,-1980,PG,124 min,"Biography, Drama            ",8.1,"2,13,305","2,13,305",David Lynch,"['Anthony Hopkins', 'John Hurt', 'Anne Bancroft', 'John Gielgud']","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
24,Monty Python's Life of Brian,-1979,R,94 min,Comedy            ,8.1,"3,57,503","3,57,503",Terry Jones,"['Graham Chapman', 'John Cleese', 'Michael Palin', 'Terry Gilliam']","Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah."
25,The Deer Hunter,-1978,R,183 min,"Drama, War            ",8.1,"3,02,824","3,02,824",Michael Cimino,"['Robert De Niro', 'Christopher Walken', 'John Cazale', 'John Savage']",An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.
26,Rocky,-1976,PG,120 min,"Drama, Sport            ",8.1,"5,03,888","5,03,888",John G. Avildsen,"['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers']",A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.
27,Network,-1976,R,121 min,Drama            ,8.1,"1,41,086","1,41,086",Sidney Lumet,"['Faye Dunaway', 'William Holden', 'Peter Finch', 'Robert Duvall']",A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.
28,Barry Lyndon,-1975,PG,185 min,"Adventure, Drama, History            ",8.1,"1,44,226","1,44,226",Stanley Kubrick,"[""Ryan O'Neal"", 'Marisa Berenson', 'Patrick Magee', 'Hardy Krüger']",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
29,The Mirror,-1975,G,107 min,"Biography, Drama            ",8.1,"37,736","37,736",Andrei Tarkovsky,"['Margarita Terekhova', 'Filipp Yankovskiy', 'Ignat Daniltsev', 'Oleg Yankovskiy']","A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation."
30,Paper Moon,-1973,PG,102 min,"Comedy, Drama            ",8.1,"40,996","40,996",Peter Bogdanovich,"[""Ryan O'Neal"", ""Tatum O'Neal"", 'Madeline Kahn', 'John Hillerman']","During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership."
31,Cries & Whispers,-1972,R,91 min,Drama            ,8.1,"28,911","28,911",Ingmar Bergman,"['Harriet Andersson', 'Liv Ullmann', 'Kari Sylwan', 'Ingrid Thulin']","When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface."
32,Solaris,-1972,PG,167 min,"Drama, Mystery, Sci-Fi            ",8.1,"77,560","77,560",Andrei Tarkovsky,"['Natalya Bondarchuk', 'Donatas Banionis', 'Jüri Järvet', 'Vladislav Dvorzhetskiy']",A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.
33,Le Samouraï,-1967,GP,101 min,"Crime, Drama, Mystery            ",8.1,"43,549","43,549",Jean-Pierre Melville,"['Alain Delon', 'François Périer', 'Nathalie Delon', 'Cathy Rosier']",After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.
34,Cool Hand Luke,-1967,GP,127 min,"Crime, Drama            ",8.1,"1,57,651","1,57,651",Stuart Rosenberg,"['Paul Newman', 'George Kennedy', 'Strother Martin', 'J.D. Cannon']","A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform."
